"Date","Visa_Type","Previous","Revised","Diff"
2008-07-31,"Recent Resident",216149,202139,-14010
2008-08-31,"Recent Resident",216786,202742,-14044
2008-09-30,"Recent Resident",215709,201853,-13856
2008-10-31,"Recent Resident",218303,204522,-13781
2008-11-30,"Recent Resident",215803,202116,-13687
2008-12-31,"Recent Resident",205312,192169,-13143
2009-01-31,"Recent Resident",214297,201149,-13148
2009-02-28,"Recent Resident",219766,206680,-13086
2009-03-31,"Recent Resident",219614,206699,-12915
2009-04-30,"Recent Resident",219383,206786,-12597
2009-05-31,"Recent Resident",218441,206196,-12245
2009-06-30,"Recent Resident",216204,204311,-11893
2009-07-31,"Recent Resident",217428,205901,-11527
2009-08-31,"Recent Resident",219251,207950,-11301
2009-09-30,"Recent Resident",218549,207586,-10963
2009-10-31,"Recent Resident",221063,210193,-10870
2009-11-30,"Recent Resident",218387,207707,-10680
2009-12-31,"Recent Resident",208170,197906,-10264
2010-01-31,"Recent Resident",217453,207324,-10129
2010-02-28,"Recent Resident",219542,209467,-10075
2010-03-31,"Recent Resident",219496,209644,-9852
2010-04-30,"Recent Resident",219500,209891,-9609
2010-05-31,"Recent Resident",217265,208008,-9257
2010-06-30,"Recent Resident",213631,204650,-8981
2010-07-31,"Recent Resident",213386,204785,-8601
2010-08-31,"Recent Resident",213616,205350,-8266
2010-09-30,"Recent Resident",211767,203785,-7982
2010-10-31,"Recent Resident",212709,204954,-7755
2010-11-30,"Recent Resident",210070,202532,-7538
2010-12-31,"Recent Resident",198168,190980,-7188
2011-01-31,"Recent Resident",205972,199009,-6963
2011-02-28,"Recent Resident",209245,202464,-6781
2011-03-31,"Recent Resident",208054,201488,-6566
2011-04-30,"Recent Resident",204521,198166,-6355
2011-05-31,"Recent Resident",203712,197596,-6116
2011-06-30,"Recent Resident",201633,195682,-5951
2011-07-31,"Recent Resident",200078,194422,-5656
2011-08-31,"Recent Resident",201277,195831,-5446
2011-09-30,"Recent Resident",200794,195529,-5265
2011-10-31,"Recent Resident",200481,195318,-5163
2011-11-30,"Recent Resident",197917,192898,-5019
2011-12-31,"Recent Resident",186482,181688,-4794
2012-01-31,"Recent Resident",194470,189822,-4648
2012-02-29,"Recent Resident",198126,193546,-4580
2012-03-31,"Recent Resident",197126,192659,-4467
2012-04-30,"Recent Resident",196815,192449,-4366
2012-05-31,"Recent Resident",196233,191994,-4239
2012-06-30,"Recent Resident",193325,189258,-4067
2012-07-31,"Recent Resident",194585,190697,-3888
2012-08-31,"Recent Resident",194251,190409,-3842
2012-09-30,"Recent Resident",193209,189514,-3695
2012-10-31,"Recent Resident",194061,190394,-3667
2012-11-30,"Recent Resident",191828,188276,-3552
2012-12-31,"Recent Resident",180447,177025,-3422
2013-01-31,"Recent Resident",188521,185213,-3308
2013-02-28,"Recent Resident",190720,187482,-3238
2013-03-31,"Recent Resident",189245,186113,-3132
2013-04-30,"Recent Resident",187551,184490,-3061
2013-05-31,"Recent Resident",187411,184446,-2965
2013-06-30,"Recent Resident",186412,183502,-2910
2013-07-31,"Recent Resident",185559,182765,-2794
2013-08-31,"Recent Resident",185879,183152,-2727
2013-09-30,"Recent Resident",185077,182409,-2668
2013-10-31,"Recent Resident",185418,182779,-2639
2013-11-30,"Recent Resident",184227,181679,-2548
2013-12-31,"Recent Resident",173860,171394,-2466
2014-01-31,"Recent Resident",181182,178746,-2436
2014-02-28,"Recent Resident",184486,182063,-2423
2014-03-31,"Recent Resident",185088,182691,-2397
2014-04-30,"Recent Resident",182838,180461,-2377
2014-05-31,"Recent Resident",183204,180893,-2311
2014-06-30,"Recent Resident",182714,180451,-2263
2014-07-31,"Recent Resident",182284,180066,-2218
2014-08-31,"Recent Resident",182826,180664,-2162
2014-09-30,"Recent Resident",181842,179753,-2089
2014-10-31,"Recent Resident",183237,181185,-2052
2014-11-30,"Recent Resident",182038,180020,-2018
2014-12-31,"Recent Resident",171693,169746,-1947
2015-01-31,"Recent Resident",180636,178686,-1950
2015-02-28,"Recent Resident",182033,180139,-1894
2015-03-31,"Recent Resident",181617,179741,-1876
2015-04-30,"Recent Resident",180203,178322,-1881
2015-05-31,"Recent Resident",178692,176860,-1832
2015-06-30,"Recent Resident",177971,176155,-1816
2015-07-31,"Recent Resident",177904,176117,-1787
2015-08-31,"Recent Resident",179633,177869,-1764
2015-09-30,"Recent Resident",179465,177729,-1736
2015-10-31,"Recent Resident",181587,179880,-1707
2015-11-30,"Recent Resident",181230,179582,-1648
2015-12-31,"Recent Resident",171707,170104,-1603
2016-01-31,"Recent Resident",180912,179312,-1600
2016-02-29,"Recent Resident",185234,183663,-1571
2016-03-31,"Recent Resident",185647,184100,-1547
2016-04-30,"Recent Resident",185269,183739,-1530
2016-05-31,"Recent Resident",186685,185186,-1499
2016-06-30,"Recent Resident",186484,185016,-1468
2016-07-31,"Recent Resident",185424,183950,-1474
2016-08-31,"Recent Resident",187383,185928,-1455
2016-09-30,"Recent Resident",187880,186465,-1415
2016-10-31,"Recent Resident",189730,188338,-1392
2016-11-30,"Recent Resident",189563,188168,-1395
2016-12-31,"Recent Resident",177120,175773,-1347
2017-01-31,"Recent Resident",186566,185240,-1326
2017-02-28,"Recent Resident",193268,191941,-1327
2017-03-31,"Recent Resident",194730,193399,-1331
2017-04-30,"Recent Resident",193072,191747,-1325
2017-05-31,"Recent Resident",192605,191288,-1317
2017-06-30,"Recent Resident",191260,189958,-1302
2017-07-31,"Recent Resident",191456,190191,-1265
2017-08-31,"Recent Resident",191761,190489,-1272
2017-09-30,"Recent Resident",190600,189331,-1269
2017-10-31,"Recent Resident",192464,191227,-1237
2017-11-30,"Recent Resident",192078,190853,-1225
2017-12-31,"Recent Resident",177191,176029,-1162
2018-01-31,"Recent Resident",191330,190139,-1191
2018-02-28,"Recent Resident",193866,192692,-1174
2018-03-31,"Recent Resident",193062,191899,-1163
2018-04-30,"Recent Resident",193589,192442,-1147
2018-05-31,"Recent Resident",194132,193004,-1128
2018-06-30,"Recent Resident",191681,190573,-1108
2018-07-31,"Recent Resident",192561,191481,-1080
2018-08-31,"Recent Resident",192805,191741,-1064
2018-09-30,"Recent Resident",191994,190958,-1036
2018-10-31,"Recent Resident",194122,193138,-984
2018-11-30,"Recent Resident",192584,191611,-973
2018-12-31,"Recent Resident",177065,176138,-927
2019-01-31,"Recent Resident",189072,188154,-918
2019-02-28,"Recent Resident",192855,191942,-913
